Date,Time,Price,50-Day MA,200-Day MA,Market Open,Prev Close,Trading Volume,Sentiment,Subjectivity
"Dec 27, 2019",09:26,217.68,197.09,177.41,217.99,216.38,3368819.0,0.12511904761904763,0.35523809523809524
"Dec 27, 2019",09:29,217.55,197.09,177.41,217.99,216.38,3433722.0,0.12511904761904763,0.35523809523809524
"Dec 27, 2019",09:31,217.44,197.09,177.41,217.99,216.38,3500866.0,0.12511904761904763,0.35523809523809524
"Dec 27, 2019",09:34,217.33,197.09,177.41,217.99,216.38,3595634.0,0.12511904761904763,0.35523809523809524
"Dec 27, 2019",09:36,217.35,197.09,177.41,217.99,216.38,3658308.0,0.12511904761904763,0.35523809523809524
"Dec 27, 2019",09:39,217.12,197.09,177.41,217.99,216.38,3725433.0,0.12511904761904763,0.35523809523809524
"Dec 27, 2019",09:42,217.09,197.09,177.41,217.99,216.38,3788240.0,0.12511904761904763,0.35523809523809524
"Dec 27, 2019",09:44,217.1,197.09,177.41,217.99,216.38,3830454.0,0.0,0.0
"Dec 27, 2019",09:47,217.1,197.09,177.41,217.99,216.38,3913845.0,0.0,0.0
"Dec 27, 2019",09:49,217.1,197.09,177.41,217.99,216.38,3960565.0,0.0,0.0
